CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability,CSD_years,SMILES
FEZXAN,-3675.193072,-0.181494,0.5329,-1.68869,0.13325,-0.17828,-0.04503,484.574141,2020-2024,
KOZZUX,-2683.554639,-0.058107,6.2197,0.85846,0.11395,-0.21087,-0.09692,189.079112,2020-2024,
WOMMET,-1820.756876,-0.152194,7.0746,0.3555,0.11029,-0.29716,-0.18687,425.856299,2020-2024,
VIXQUS,-5799.340826,-0.275672,1.3011,-0.31484,0.04563,-0.15928,-0.11365,690.109352,2020-2024,
RIVPAR,-1879.890487,-0.134467,5.5317,0.04012,0.08354,-0.16888,-0.08534,377.763901,2020-2024,
ROGHEE,-4609.021267,-0.23672,4.5021,-0.44897,0.08521,-0.15798,-0.07277,557.479463,2020-2024,
KIMGEU,-1966.858157,-0.085917,6.707,0.15485,0.10723,-0.18792,-0.08069,282.063718,2020-2024,
GIPQUV,-1980.314566,-0.125988,1.2936,-0.62429,0.1072,-0.16111,-0.05391,363.133659,2020-2024,
HOBBEJ,-3850.770503,-0.09906,6.1729,-0.42641,0.11846,-0.16679,-0.04833,304.142456,2020-2024,
COCLOZ,-1483.415571,-0.107519,4.5613,0.0523,0.12311,-0.30919,-0.18608,282.150063,2020-2024,
DECLEE,-5466.096763,-0.080904,8.8211,0.56189,0.05066,-0.14707,-0.09641,231.203904,2020-2024,
ROVVUV,-3334.641558,-0.291776,2.1172,-0.6667,0.11005,-0.17274,-0.06269,727.750569,2020-2024,
NODKIE,-2112.659262,-0.202648,3.3674,0.09074,0.09416,-0.17036,-0.0762,507.395139,2020-2024,
BIPBAH,-1834.561652,-0.026884,6.4231,-0.92952,0.13368,-0.05335,0.08033,143.15239,2020-2024,
WEKCOI,-747.952861,-0.11407,8.4828,-0.29491,0.09467,-0.08295,0.01172,287.105747,2020-2024,
RUNPAU,-2194.349817,-0.069672,10.5503,0.70461,0.10237,-0.15751,-0.05514,179.803053,2020-2024,
AFAFOG,-3403.261936,-0.27058,4.8869,-0.47965,0.10994,-0.27203,-0.16209,649.969555,2020-2024,
SOCSEM,-2119.620869,-0.148768,2.5637,-0.40933,0.10987,-0.1851,-0.07523,479.408283,2020-2024,
VAWXIB,-2864.962737,-0.12593,6.6572,0.40806,0.05663,-0.14628,-0.08965,381.340986,2020-2024,
WUDWOK,-7674.87358,-0.129839,6.0941,0.41924,0.06637,-0.16779,-0.10142,402.863343,2020-2024,
MUFCEY,-2490.185111,-0.19201,2.3149,-0.2769,0.11321,-0.2908,-0.17759,492.257036,2020-2024,
QOFQUB,-2575.413564,-0.182505,6.7286,-0.34217,0.06795,-0.18156,-0.11361,458.930126,2020-2024,
QIPHUS,-5258.170261,-0.269546,7.9218,-0.51096,0.00794,-0.17434,-0.1664,713.424544,2020-2024,
QOBSAF,-4179.82764,-0.316808,4.9289,0.03771,0.05709,-0.10456,-0.04747,668.636205,2020-2024,
MAYZEV,-3085.874884,-0.233363,9.2948,-0.66983,0.10379,-0.16008,-0.05629,568.326385,2020-2024,
GUTXUR,-5484.889911,-0.135504,5.7432,-0.65076,0.07077,-0.14784,-0.07707,352.906426,2020-2024,
BOHRUP,-2198.592466,-0.122907,6.3624,-0.16815,0.08926,-0.28452,-0.19526,368.899334,2020-2024,
NOVHOY,-2163.735108,-0.093365,4.8699,-0.41123,0.087,-0.17933,-0.09233,298.025216,2020-2024,
FIXRIO,-3761.528449,-0.243956,5.5408,-1.56037,0.14117,-0.18726,-0.04609,617.573399,2020-2024,
SIZVIJ,-1507.678608,-0.097155,3.2357,0.5025,0.08967,-0.19435,-0.10468,323.524261,2020-2024,
PILSEM,-2714.184796,-0.11306,5.5582,0.46912,0.09179,-0.15661,-0.06482,322.026371,2020-2024,
ZEKWOB,-5904.551962,-0.471603,4.5157,-0.2431,0.00661,-0.18774,-0.18113,1067.276932,2020-2024,
QOBSOT,-3612.07848,-0.227756,5.3453,0.27563,0.04252,-0.10086,-0.05834,550.908228,2020-2024,
CEFXIY,-1783.659803,-0.159815,3.6491,0.51374,0.0701,-0.1712,-0.1011,404.13247,2020-2024,
NETJAZ,-9183.656302,-0.277492,0.0071,0.28302,0.08934,-0.15813,-0.06879,682.910809,2020-2024,
YIWMOK,-3004.508687,-0.20359,6.7531,-0.35873,0.10823,-0.31785,-0.20962,526.664787,2020-2024,
JISXOC,-1821.73717,-0.164545,2.1964,0.06127,0.12241,-0.28299,-0.16058,435.132087,2020-2024,
FIJSEA,-2210.114419,-0.04169,0.0117,0.64103,0.11175,-0.18709,-0.07534,138.373587,2020-2024,
DIQWAF,-3901.605345,-0.143861,15.3606,0.32751,0.07958,-0.21454,-0.13496,452.552634,2020-2024,
GIRNUU,-1970.175298,-0.159077,5.8888,-0.50088,0.07089,-0.15774,-0.08685,438.592961,2020-2024,
RUCKAE,-2301.253231,-0.082812,3.1205,0.759,0.11225,-0.12914,-0.01689,235.679424,2020-2024,
BOCMOZ,-2172.692734,-0.151078,4.1348,-0.47562,0.12551,-0.17303,-0.04752,399.722354,2020-2024,
ZOLQUQ,-3289.445296,-0.111354,7.8493,0.65063,0.05846,-0.13314,-0.07468,302.340432,2020-2024,
PURNUO,-5503.50812,-0.12983,3.361,-0.42027,0.13935,-0.323,-0.18365,393.544957,2020-2024,
USATEQ,-2559.105147,-0.096326,0.2167,-0.70257,0.1466,-0.18864,-0.04204,276.771694,2020-2024,
JISHOM,-1732.359,-0.12696,4.8695,-0.13137,0.11098,-0.17422,-0.06324,353.877688,2020-2024,
ENUHED,-3851.920488,-0.197363,0.0151,-0.27836,0.07694,-0.17491,-0.09797,524.003645,2020-2024,
NUNQUL,-2947.535531,-0.256265,3.279,-0.4348,0.10764,-0.15801,-0.05037,620.25487,2020-2024,
IZEWAO,-1636.097772,-0.145171,1.5062,0.42321,0.12268,-0.17293,-0.05025,387.685229,2020-2024,
COHDIQ,-5022.73563,-0.124484,13.7826,0.39836,0.05964,-0.14352,-0.08388,354.980814,2020-2024,
AWALOC,-2221.494803,-0.19913,13.6535,-0.69117,0.13058,-0.1857,-0.05512,507.572387,2020-2024,
UZAYIG,-1275.475368,-0.179031,7.4245,-0.11024,0.1275,-0.21556,-0.08806,399.603842,2020-2024,
ZOMJUK,-2985.922997,-0.083846,4.6076,0.62364,0.06401,-0.13961,-0.0756,233.463098,2020-2024,
SODVAM,-2115.492186,-0.137743,6.7354,0.09318,0.06729,-0.2687,-0.20141,402.780024,2020-2024,
ILOROR,-3397.491429,-0.237604,7.8362,-0.94582,0.0748,-0.17326,-0.09846,603.217218,2020-2024,
RIVPIZ,-2482.332514,-0.164178,3.9283,0.01626,0.07001,-0.17319,-0.10318,473.039874,2020-2024,
WUBCAA,-3122.144129,-0.199266,6.2865,-0.91649,0.13149,-0.17339,-0.0419,515.143363,2020-2024,
SADQUN,-4368.74874,-0.206087,11.6521,-0.56586,0.09993,-0.16224,-0.06231,556.344553,2020-2024,
ZOMKIZ,-2871.710946,-0.070219,6.4408,0.53449,0.06738,-0.13802,-0.07064,207.591784,2020-2024,
TIJGIG,-3112.255584,-0.223649,0.5617,0.95776,0.07251,-0.14703,-0.07452,502.77502,2020-2024,
DIPLIB,-2562.619145,-0.148232,6.1179,-0.44483,0.0852,-0.3046,-0.2194,369.458209,2020-2024,
KIWWEW,-1990.830614,-0.109356,8.8848,0.0297,0.11112,-0.17148,-0.06036,300.312413,2020-2024,
EFAJII,-8072.593157,-0.126224,0.0091,0.1751,0.06687,-0.14364,-0.07677,368.950383,2020-2024,
WUWHAX,-1840.760403,-0.060914,8.2807,0.42015,0.0821,-0.18178,-0.09968,222.644354,2020-2024,
NUNQOF,-1970.36307,-0.153981,2.3154,-0.21869,0.10733,-0.15902,-0.05169,432.386984,2020-2024,
TOCPIO,-3985.002335,-0.118674,6.3546,0.3263,0.05961,-0.13438,-0.07477,337.849335,2020-2024,
KOXPUK,-3520.538416,-0.071248,0.0118,0.60755,0.06777,-0.18135,-0.11358,277.804119,2020-2024,
NUQCOU,-5486.913721,-0.16254,6.575,-0.68783,0.09756,-0.34021,-0.24265,454.993413,2020-2024,
GIQFIZ,-2828.775893,-0.114575,8.5093,-0.79764,0.11837,-0.17879,-0.06042,331.672936,2020-2024,
ODAQET,-2438.52174,-0.218699,2.5047,-0.54889,0.13288,-0.29979,-0.16691,530.650664,2020-2024,
NIRFUT,-1678.935881,-0.117831,12.3783,0.36018,0.0507,-0.14428,-0.09358,356.798766,2020-2024,
FAVWIK,-1324.162665,-0.086613,0.8535,0.51696,0.10969,-0.17553,-0.06584,301.476792,2020-2024,
ZIFFIH,-2449.987198,-0.083757,0.0035,0.72423,0.0972,-0.14911,-0.05191,268.23293,2020-2024,
NODKOK,-2151.952187,-0.212881,4.217,0.09305,0.09446,-0.17262,-0.07816,519.150961,2020-2024,
NIQVES,-3006.796821,-0.159752,3.6893,-1.00557,0.11467,-0.17031,-0.05564,401.399472,2020-2024,
FIMMOH,-1881.366123,-0.133064,4.3737,-1.10458,0.17785,-0.18599,-0.00814,342.145476,2020-2024,
LUVTUU,-3392.130546,-0.182885,4.7866,-0.8394,0.0818,-0.16304,-0.08124,453.517339,2020-2024,
URIHAH,-8482.3476,-0.197734,9.1636,-1.03554,0.11125,-0.17109,-0.05984,593.768139,2020-2024,
FITLED,-2465.446802,-0.203691,0.6855,-0.26609,0.08602,-0.28025,-0.19423,559.302333,2020-2024,
RISLIS,-2819.198441,-0.071439,5.7848,-0.29511,0.09699,-0.18748,-0.09049,249.819638,2020-2024,
WIRCAF,-3997.358738,-0.184371,3.8933,0.24674,0.05623,-0.16289,-0.10666,515.162188,2020-2024,
CUSTAL,-3757.34548,-0.214133,4.8056,-0.96421,0.01114,-0.29699,-0.28585,551.445866,2020-2024,
JOKRUA,-3427.330425,-0.145282,10.9227,0.40037,0.11203,-0.27981,-0.16778,353.349069,2020-2024,
XESNER,-1822.153791,-0.027707,10.074,-1.40275,0.18269,-0.08575,0.09694,124.759182,2020-2024,
OTIXEX,-2184.579794,-0.07854,4.2694,-0.59038,0.15656,-0.33921,-0.18265,220.201902,2020-2024,
DOCRAS,-2576.365655,-0.13384,8.0923,0.33441,0.085,-0.27624,-0.19124,409.420326,2020-2024,
HOBRAV,-1316.907137,-0.101515,6.4963,-0.42728,0.11864,-0.16118,-0.04254,296.577539,2020-2024,
TISMOB,-2985.879823,-0.132893,3.0525,-0.36454,0.13868,-0.31456,-0.17588,371.052897,2020-2024,
CIMKAO,-3313.251534,-0.157564,8.4927,-0.70535,0.12084,-0.17458,-0.05374,428.097022,2020-2024,
COCLIT,-1444.122628,-0.093826,5.9211,0.01915,0.1261,-0.3116,-0.1855,270.206687,2020-2024,
DAFYEP,-1071.036311,-0.086714,8.7885,-0.24363,0.10881,-0.18361,-0.0748,231.739198,2020-2024,
WITZIM,-3450.418498,-0.164838,5.7478,-1.65577,0.10186,-0.15472,-0.05286,379.983624,2020-2024,
POMGIL,-2796.615677,-0.276926,11.8599,-0.60867,0.12974,-0.18304,-0.0533,644.556568,2020-2024,
HIVGAU,-4813.155934,-0.322253,6.7245,0.18523,0.0598,-0.20714,-0.14734,794.692827,2020-2024,
REKPEG,-7677.645756,-0.12781,2.4841,-1.42038,0.11719,-0.16708,-0.04989,359.679805,2020-2024,
BOCBUU,-4269.677397,-0.335558,0.9583,-0.55431,0.08854,-0.22861,-0.14007,899.855508,2020-2024,
TIMDOM,-3162.884903,-0.136412,12.4039,0.38791,0.11608,-0.27825,-0.16217,298.796112,2020-2024,
JIPPOR,-1798.796901,-0.113721,2.0855,-0.27323,0.07309,-0.15783,-0.08474,339.68812,2020-2024,
HUNSAL,-1376.593536,-0.099483,6.1543,0.26758,0.08807,-0.16455,-0.07648,318.79821,2020-2024,
XINCON,-1672.612606,-0.096361,4.6905,0.16176,0.10319,-0.17786,-0.07467,313.135256,2020-2024,
GIRPOQ,-2362.957141,-0.16978,6.1965,-0.46742,0.10715,-0.16953,-0.06238,457.466747,2020-2024,
EMITOM,-2630.863688,-0.204853,1.3511,-0.84802,0.13892,-0.29493,-0.15601,507.227181,2020-2024,
JISGOL,-1638.663329,-0.106683,6.003,-0.14014,0.11234,-0.17574,-0.0634,302.628028,2020-2024,
CITSAD,-2363.209943,-0.203548,4.006,0.04305,0.10538,-0.28538,-0.18,492.260066,2020-2024,
OSOROG,-2938.956052,-0.22402,4.4935,-0.77621,0.05707,-0.15644,-0.09937,567.827238,2020-2024,
QATGIF,-1731.100928,-0.120312,2.5496,0.51803,0.06284,-0.16834,-0.1055,380.661313,2020-2024,
QIMNEJ,-3727.567016,-0.246833,5.7521,0.04982,0.0755,-0.13407,-0.05857,578.153453,2020-2024,
TIXPUP,-3543.680476,-0.175287,3.0001,-0.51693,0.1342,-0.28565,-0.15145,475.653343,2020-2024,
TOCQAH,-4110.141149,-0.190049,7.9163,0.57959,0.06572,-0.15957,-0.09385,492.354724,2020-2024,
SAGFUB,-4224.272423,-0.145916,0.0137,-1.06145,0.10022,-0.18671,-0.08649,575.868289,2020-2024,
GIRPUW,-2200.504232,-0.175491,6.4782,-0.60028,0.09997,-0.1666,-0.06663,476.054361,2020-2024,
QOCCOE,-3120.259707,-0.073776,5.8687,0.18612,0.07496,-0.16221,-0.08725,214.00594,2020-2024,
GOBJOW,-4318.974656,-0.300784,9.2242,-0.79899,0.07673,-0.18127,-0.10454,753.106642,2020-2024,
VIXYEK,-3689.850696,-0.272794,1.2817,-0.27582,0.0578,-0.17144,-0.11364,683.146679,2020-2024,
DIRNOL,-3622.151875,-0.246683,4.8858,-0.55005,0.07511,-0.18223,-0.10712,628.082751,2020-2024,
ZACWOT,-2968.285929,-0.150867,9.4084,0.45331,0.07933,-0.15479,-0.07546,397.197696,2020-2024,
AMIYON,-7583.451783,-0.105666,7.9588,0.05486,0.07214,-0.16278,-0.09064,299.854869,2020-2024,
HIMGAP,-3897.86651,-0.241895,4.0591,-0.65682,0.11012,-0.15192,-0.0418,595.075938,2020-2024,
VIHTAK,-1897.687766,-0.121256,3.8039,0.01125,0.07198,-0.15006,-0.07808,334.187852,2020-2024,
CEHWIZ,-3848.027974,-0.328878,3.5184,-1.13855,0.12401,-0.29318,-0.16917,768.361482,2020-2024,
KAYWUG,-2523.93177,-0.094035,5.9539,0.18978,0.07307,-0.01827,0.0548,276.382674,2020-2024,
XITQUQ,-2430.071576,-0.138672,4.3321,-0.14321,0.10254,-0.28151,-0.17897,399.737665,2020-2024,
TIWRAW,-3295.614828,-0.104055,6.8522,0.40877,0.07292,-0.16207,-0.08915,324.921063,2020-2024,
QIMPOV,-2160.011903,-0.216414,0.8654,-0.25725,0.08269,-0.12224,-0.03955,518.804924,2020-2024,
BOCNOA,-2172.675195,-0.154143,3.8865,-0.2077,0.11618,-0.17516,-0.05898,399.792345,2020-2024,
KIZWUP,-5871.983678,-0.202527,1.3059,0.08429,0.10395,-0.19862,-0.09467,579.810454,2020-2024,
OGIVOS,-1588.420757,-0.115871,1.8354,0.51503,0.06213,-0.15109,-0.08896,371.872203,2020-2024,
DOHPEZ,-3513.393898,-0.267563,2.053,-1.12646,0.0989,-0.30438,-0.20548,670.234263,2020-2024,
ZIFFAZ,-2977.979978,-0.138024,4.2945,0.46638,0.08924,-0.149,-0.05976,407.611398,2020-2024,
KAYXOB,-2523.931341,-0.094328,5.905,0.18192,0.07348,-0.01825,0.05523,276.374261,2020-2024,
YUWSAL,-2105.44222,-0.150579,5.071,-0.80089,0.08692,-0.14709,-0.06017,376.736181,2020-2024,
DOHMUM,-3311.982102,-0.112674,0.0096,0.81161,0.11274,-0.1905,-0.07776,353.137682,2020-2024,
MELXUA,-2816.942251,-0.0741,10.1439,-0.89473,0.09769,-0.18373,-0.08604,249.204,2020-2024,
VIKNEJ,-11215.490356,-0.294707,4.7303,-0.77379,0.10746,-0.18427,-0.07681,759.871651,2020-2024,
AVAZIJ,-4430.086504,-0.262585,0.0009,0.54344,0.06291,-0.15198,-0.08907,682.615219,2020-2024,
NIKWOX,-3664.118015,-0.234505,5.6957,-0.53808,0.12095,-0.17595,-0.055,633.139912,2020-2024,
JOKROU,-2887.262254,-0.116251,6.8072,0.33463,0.10679,-0.27286,-0.16607,290.787591,2020-2024,
NIPTUF,-2054.095379,-0.073128,2.9242,0.02933,0.07991,-0.1987,-0.11879,265.087925,2020-2024,
CIQBEN,-3960.919434,-0.296462,6.9956,-0.40439,0.08654,-0.27067,-0.18413,698.770324,2020-2024,
JISWOB,-2640.556129,-0.168492,5.8352,-0.47011,0.08611,-0.26232,-0.17621,457.826468,2020-2024,
MACHUV,-7761.147205,-0.156898,4.2916,0.25469,0.07134,-0.165,-0.09366,407.785502,2020-2024,
MIRMEJ,-1999.604215,-0.201694,3.7608,0.09108,0.09547,-0.17231,-0.07684,479.522203,2020-2024,
YEJNOU,-3650.736419,-0.088683,4.8517,0.43026,0.08346,-0.14907,-0.06561,241.377209,2020-2024,
OGIVAE,-1589.625742,-0.117763,1.0279,0.52216,0.06587,-0.14805,-0.08218,372.516522,2020-2024,
CIXHUQ,-2566.678993,-0.208271,2.7188,-0.51079,0.11658,-0.16101,-0.04443,519.497816,2020-2024,
FUXNOE,-3314.302495,-0.13311,12.0023,-1.073,0.10965,-0.18363,-0.07398,386.387332,2020-2024,
WIWLOH,-3094.184489,-0.141879,3.7834,-0.04096,0.07426,-0.13703,-0.06277,363.115451,2020-2024,
TIDWOT,-2814.300252,-0.063339,9.3033,0.8604,0.00732,-0.22231,-0.21499,227.748482,2020-2024,
RIWZEG,-2758.603368,-0.15693,4.1537,-1.06444,0.1154,-0.14688,-0.03148,413.806752,2020-2024,
CEHPAG,-2829.126842,-0.110393,4.5953,0.22377,0.03659,-0.14895,-0.11236,320.414499,2020-2024,
RABTAT,-2821.965248,-0.158228,6.64,0.36164,0.07027,-0.13136,-0.06109,390.253465,2020-2024,
UZAYEB,-8679.466006,-0.212279,0.0362,0.36788,0.0469,-0.14322,-0.09632,654.619349,2020-2024,
CAFNEG,-2702.196785,-0.157084,3.164,-0.40169,0.06589,-0.28344,-0.21755,432.770564,2020-2024,
RIPHEH,-3501.714047,-0.162352,20.4277,0.51862,0.08095,-0.18925,-0.1083,439.282201,2020-2024,
YIMCEG,-3926.670079,-0.184769,4.8347,-0.90436,0.09401,-0.16141,-0.0674,455.508601,2020-2024,
RAPLUT,-5074.737586,-0.115973,8.4653,0.19793,0.0863,-0.28065,-0.19435,322.851243,2020-2024,
XAQDUS,-1069.812818,-0.12479,15.8321,-0.03436,0.07631,-0.16895,-0.09264,313.834456,2020-2024,
AFEKUV,-4701.856433,-0.347385,15.8789,-0.53895,0.0851,-0.23909,-0.15399,844.231568,2020-2024,
JETZER,-5874.378338,-0.201969,4.0602,0.08255,0.10414,-0.19164,-0.0875,585.887164,2020-2024,
ZODZIF,-4210.811608,-0.231676,4.9121,-1.15474,0.13985,-0.2945,-0.15465,579.957226,2020-2024,
MILBAO,-3561.056319,-0.13169,1.5467,0.48627,0.0905,-0.22075,-0.13025,310.561414,2020-2024,
QILYET,-2383.486354,-0.113367,6.199,-0.15289,0.08137,-0.18288,-0.10151,345.538821,2020-2024,
WEKDEZ,-786.535807,-0.119542,9.1151,-0.13697,0.08695,-0.23036,-0.14341,287.062355,2020-2024,
UCUKAG,-3282.566757,-0.176044,7.3188,0.15293,0.09174,-0.15174,-0.06,445.406825,2020-2024,
QOBQUX,-2690.262625,-0.219658,1.5192,-1.02485,0.11587,-0.14461,-0.02874,543.419507,2020-2024,
FIKLIY,-4465.668185,-0.045361,2.3683,-0.54674,0.10526,-0.17933,-0.07407,178.026647,2020-2024,
NOVHEO,-2760.276418,-0.106581,4.3786,-1.1966,0.1115,-0.21953,-0.10803,364.115833,2020-2024,
KINDUK,-3095.502459,-0.133837,0.7329,0.4271,0.09616,-0.15633,-0.06017,394.289247,2020-2024,
LODSIK,-3606.81758,-0.123881,5.2678,0.32792,0.07062,-0.18347,-0.11285,383.501466,2020-2024,
RURJOD,-6344.638313,-0.103482,11.5869,-0.27945,0.10822,-0.30021,-0.19199,281.732564,2020-2024,
JELZAF,-1787.232301,-0.095501,4.4536,0.15548,0.09973,-0.17173,-0.072,317.600925,2020-2024,
ZOMKAR,-3025.239216,-0.09117,4.5006,0.56136,0.07172,-0.14131,-0.06959,244.747811,2020-2024,
BISJEW,-4078.927467,-0.107949,4.1439,-1.24927,0.10164,-0.19303,-0.09139,303.395957,2020-2024,
HEWRIO,-8527.525484,-0.151776,9.1191,0.19505,0.08895,-0.16395,-0.075,506.495081,2020-2024,
KICKIU,-939.124713,-0.109881,9.2388,-0.14114,0.12208,-0.20198,-0.0799,275.908922,2020-2024,
BOJGEQ,-2855.247203,-0.108932,9.6094,0.40693,0.07865,-0.17176,-0.09311,351.322029,2020-2024,
YIYZIT,-3433.238097,-0.209988,2.9758,0.60054,0.06463,-0.14044,-0.07581,486.359588,2020-2024,
XELWUG,-3262.744885,-0.226825,4.0614,-0.76148,0.1269,-0.18188,-0.05498,610.44023,2020-2024,
COHTAY,-5428.635827,-0.262981,15.29,0.41145,0.10926,-0.1829,-0.07364,624.039072,2020-2024,
COHJES,-5047.770531,-0.220957,0.3558,0.31491,0.00681,-0.12503,-0.11822,669.609446,2020-2024,
ROGHUU,-4648.309803,-0.242229,5.7933,-0.43718,0.08027,-0.15746,-0.07719,569.356818,2020-2024,
QUGGUX,-1296.513653,-0.128892,0.6983,0.10635,0.1444,-0.19466,-0.05026,318.185273,2020-2024,
FEGVEW,-7326.540403,-0.09646,11.4216,0.16346,0.07458,-0.14455,-0.06997,273.713565,2020-2024,
VAKCET,-5529.399826,-0.142234,1.7264,-1.34618,0.15125,-0.19137,-0.04012,346.792527,2020-2024,
JIWMEL,-2659.424996,-0.191385,7.3266,-0.66734,0.10814,-0.15799,-0.04985,494.456254,2020-2024,
GISJUR,-5514.246563,-0.235802,0.001,-0.07288,0.08268,-0.17138,-0.0887,668.995219,2020-2024,
NIYQAR,-7390.586977,-0.087761,7.3285,0.05343,0.06755,-0.16579,-0.09824,248.388572,2020-2024,
BIQJEU,-4046.422413,-0.171021,7.4597,0.20507,0.06948,-0.17427,-0.10479,466.79327,2020-2024,
LUQXON,-2843.172196,-0.129678,5.6446,0.20813,0.08757,-0.1346,-0.04703,360.690802,2020-2024,
CIVVEM,-2004.707357,-0.09551,4.6147,0.0172,0.08745,-0.30505,-0.2176,299.256331,2020-2024,
AYIXOY,-5690.497796,-0.150012,6.568,-0.83726,0.09786,-0.26872,-0.17086,387.724349,2020-2024,
ROFGEC,-2845.223107,-0.161863,12.8572,0.39183,0.10561,-0.18079,-0.07518,425.981535,2020-2024,
ADASUX,-2273.057373,-0.160465,2.3737,-0.13996,0.0826,-0.16807,-0.08547,396.851216,2020-2024,
WIYVOT,-2772.168574,-0.211985,1.5787,-0.10204,0.08528,-0.17108,-0.0858,504.420426,2020-2024,
DENQUM,-1653.646713,-0.107491,1.7281,0.52684,0.06776,-0.16614,-0.09838,358.871825,2020-2024,
VERXOJ,-5847.393018,-0.135428,11.8779,-0.53387,0.09435,-0.17691,-0.08256,353.900902,2020-2024,
MUDREL,-2568.778809,-0.201798,2.6465,-0.28007,0.11424,-0.29077,-0.17653,515.46883,2020-2024,
PILWAM,-2596.292006,-0.093537,6.12,0.67808,0.0957,-0.1642,-0.0685,284.685498,2020-2024,
JIQWOZ,-4248.428056,-0.272292,5.7966,-0.94058,0.10877,-0.17866,-0.06989,686.057061,2020-2024,
VOHLEL,-7916.521228,-0.094418,10.9975,0.30801,0.06248,-0.1501,-0.08762,293.33457,2020-2024,
AVAZEF,-4427.640553,-0.257032,0.0755,0.39019,0.06226,-0.15154,-0.08928,676.858955,2020-2024,
BIWBOC,-2096.433702,-0.167866,4.1381,0.06907,0.09573,-0.29182,-0.19609,440.851933,2020-2024,
QOBRIM,-3768.073856,-0.253879,4.809,0.05316,0.03721,-0.07811,-0.0409,582.477207,2020-2024,
YIXDAO,-3079.010901,-0.196074,3.6832,0.60239,0.04758,-0.16767,-0.12009,493.045624,2020-2024,
WIYVUZ,-2582.568805,-0.20692,1.7092,-0.09518,0.08502,-0.17176,-0.08674,483.092244,2020-2024,
WOHJEL,-1684.427875,-0.12765,8.4894,0.33142,0.11877,-0.29954,-0.18077,384.167515,2020-2024,
ODOZAM,-1433.593787,-0.083909,2.7717,0.36062,0.09728,-0.16003,-0.06275,332.347039,2020-2024,
NIQTUG,-2467.452277,-0.11037,4.7677,-1.13339,0.13028,-0.1914,-0.06112,302.367239,2020-2024,
HOCCUB,-2933.553689,-0.142544,9.0973,0.38339,0.07746,-0.1625,-0.08504,391.978511,2020-2024,
WIRCIN,-3349.119442,-0.169752,2.755,0.21633,0.05844,-0.17635,-0.11791,483.627425,2020-2024,
XOLDUA,-2853.221675,-0.261591,15.308,-0.81142,0.11774,-0.18873,-0.07099,616.083371,2020-2024,
REKPAC,-8060.916408,-0.17333,2.6807,-1.4165,0.11348,-0.16679,-0.05331,461.869479,2020-2024,
YIDRUC,-12207.723476,-0.065821,1.5915,-0.31864,0.13234,-0.22355,-0.09121,236.825626,2020-2024,
JIWMIP,-4854.162196,-0.219642,8.7446,-0.82617,0.10591,-0.16015,-0.05424,551.778449,2020-2024,
DALPAL,-8629.372054,-0.195068,0.0214,0.2936,0.07402,-0.17207,-0.09805,597.438268,2020-2024,
PIYWEZ,-2479.80628,-0.179289,3.9024,-0.75193,0.10026,-0.18122,-0.08096,436.441165,2020-2024,
CITSEH,-2592.57306,-0.172625,1.4895,-0.21207,0.07446,-0.15883,-0.08437,472.486234,2020-2024,
RIXQEY,-3313.25154,-0.157515,8.4887,-0.70624,0.12088,-0.17459,-0.05371,428.097005,2020-2024,
FIZRUF,-2738.255898,-0.132367,4.004,-0.28521,0.05669,-0.14504,-0.08835,359.038444,2020-2024,
TOCPUA,-3874.383781,-0.152999,7.7424,0.54,0.07049,-0.15934,-0.08885,422.317703,2020-2024,
ZUQTIR,-8909.057288,-0.313344,7.2303,0.33763,0.09425,-0.17829,-0.08404,707.403389,2020-2024,
TIFNEB,-1130.660247,-0.080513,6.9346,0.72465,0.08617,-0.16552,-0.07935,267.921487,2020-2024,
DUPRAK,-1578.820837,-0.116509,6.9181,-0.22557,0.05137,-0.16451,-0.11314,358.379564,2020-2024,
DOFBAF,-4293.039961,-0.290895,3.9592,-0.75666,0.0606,-0.30005,-0.23945,698.126504,2020-2024,
ARUZEV,-5707.407084,-0.182118,6.594,-0.86835,0.13587,-0.273,-0.13713,416.615039,2020-2024,
DISHUM,-4152.803162,-0.159886,6.5652,0.02493,0.0781,-0.20099,-0.12289,439.901313,2020-2024,
UPOWUU,-7235.504636,-0.102983,9.7055,0.26635,0.07665,-0.1579,-0.08125,257.331741,2020-2024,
GIRNEE,-2593.331055,-0.167651,6.5481,-0.33612,0.06389,-0.15112,-0.08723,436.389605,2020-2024,
MOSLAH,-1592.222555,-0.117071,3.376,-0.30616,0.10349,-0.17919,-0.0757,309.605847,2020-2024,
IZATAH,-7815.490769,-0.160244,7.4926,0.39027,0.04837,-0.16718,-0.11881,403.449959,2020-2024,
LINDEV,-3403.262104,-0.270668,4.8807,-0.47993,0.10988,-0.27197,-0.16209,649.972095,2020-2024,
HAVSIJ,-10832.308724,-0.176591,6.4541,0.77528,0.0647,-0.16348,-0.09878,508.355863,2020-2024,
EFAYET,-2366.023121,-0.170651,3.3816,-0.51654,0.09104,-0.28314,-0.1921,455.660984,2020-2024,
ROBTOV,-3416.30524,-0.199991,2.9675,0.34784,0.07581,-0.28338,-0.20757,458.003991,2020-2024,
ZOCGUX,-1266.628248,-0.09885,6.4277,0.08063,0.09619,-0.30732,-0.21113,282.82733,2020-2024,
